Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 5-29-2025  8:59PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  top.ngd
output file: top_pad.csv
Part type:   xc95144
Speed grade: -7
Package:     pq160

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,VCC,,VCCIO,,,,,,,,,,
P2,TIE,,I/O/GTS3,,,,,,,,,,
P3,dt3<0>,I/O,I/O,BIDIR,,,,,,,,,
P4,TIE,,I/O/GTS4,,,,,,,,,,
P5,dt3<1>,I/O,I/O,BIDIR,,,,,,,,,
P6,TIE,,I/O/GTS1,,,,,,,,,,
P7,dn2<3>,I/O,I/O,BIDIR,,,,,,,,,
P8,TIE,,I/O/GTS2,,,,,,,,,,
P9,dt2<1>,I/O,I/O,BIDIR,,,,,,,,,
P10,VCC,,VCCINT,,,,,,,,,,
P11,dn1<3>,I/O,I/O,BIDIR,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,ld3,I/O,I/O,BIDIR,,,,,,,,,
P14,dt1<0>,I/O,I/O,BIDIR,,,,,,,,,
P15,dt2<0>,I/O,I/O,BIDIR,,,,,,,,,
P16,TIE,,I/O,,,,,,,,,,
P17,TIE,,I/O,,,,,,,,,,
P18,dn3<2>,I/O,I/O,BIDIR,,,,,,,,,
P19,dn2<0>,O,I/O,OUTPUT,,,,,,,,,
P20,GND,,GND,,,,,,,,,,
P21,in_num<0>,I,I/O,INPUT,,,,,,,,,
P22,dn1<1>,I/O,I/O,BIDIR,,,,,,,,,
P23,fifo_num<0>,O,I/O,OUTPUT,,,,,,,,,
P24,fifo_num<1>,O,I/O,OUTPUT,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,num2<1>,O,I/O,OUTPUT,,,,,,,,,
P27,dn2<1>,O,I/O,OUTPUT,,,,,,,,,
P28,fifo_re,O,I/O,OUTPUT,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TIE,,I/O,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
